epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.939,1.33058,3.41913,1.18071,0.49277,0.20804,0.24453,0.21256,1.15259,3.22791,1.04128,5.11034e-05,5.11034e-05,5.11034e-05
2,411.445,1.33061,3.26116,1.13034,0.34321,0.26197,0.24348,0.21222,1.14863,3.20123,1.03303,5.20672e-05,5.20672e-05,5.20672e-05
